hoja, 1
comentario, 2
suma, 3
resta, 4
multiplicacion, 5
division, 6
mayorque, 7
mayorigualque, 8
menorque, 9
menorigualque, 10
igualque, 11
condicion, 12
si, 13
sino, 14
osi, 15
SiOsi, 16
mientras, 17
imprimir, 18
asignacion, 19
variable, 20
sobreescribir, 21
sentencias, 22
operadorY, 23
operadorO, 24
operadorNO, 25 
